country,happiness_rank,happiness_score,gdp_per_capita,family,life_expectancy,freedom,generosity,government_corr,social_support,continent,population,gdp_usd
South Africa,105,4.724,0.94,,0.33,0.516,0.103,0.056,1.41,Africa,57792.52,"$6,353.85 "
Iran,106,4.707,1.059,,0.691,0.459,0.282,0.129,0.771,Asia,81800.204,"$5,416.53 "
Ivory Coast,107,4.671,0.541,,0.08,0.467,0.146,0.103,0.872,Africa,25069.226,$0.00 
Ghana,108,4.657,0.592,,0.337,0.499,0.212,0.029,0.896,Africa,29767.108,"$2,216.84 "
Senegal,109,4.631,0.429,,0.433,0.406,0.138,0.082,1.117,Africa,15854.324,"$1,441.43 "
Laos,110,4.623,0.72,,0.441,0.626,0.23,0.174,1.034,Asia,7061.498,"$2,565.98 "
Tunisia,111,4.592,0.9,,0.69,0.271,0.04,0.063,0.906,Africa,11565.203,"$3,421.78 "
Albania,112,4.586,0.916,,0.79,0.419,0.149,0.032,0.817,Europe,2882.735,"$5,239.21 "
Sierra Leone,113,4.571,0.256,,0,0.355,0.238,0.053,0.813,Africa,7650.149,$539.21 
Congo (Brazzaville),114,4.559,0.682,,0.343,0.514,0.091,0.077,0.811,Africa,5244.363,"$2,617.52 "
Bangladesh,115,4.5,0.532,,0.579,0.58,0.153,0.144,0.85,Asia,161376.713,"$1,749.33 "
Sri Lanka,116,4.471,0.918,,0.672,0.585,0.307,0.05,1.314,Asia,21228.76,"$4,099.12 "
Iraq,117,4.456,1.01,,0.536,0.304,0.148,0.095,0.971,Asia,38433.604,"$5,881.52 "
Mali,118,4.447,0.37,,0.152,0.367,0.139,0.056,1.233,Africa,19077.755,$926.54 
Namibia,119,4.441,0.874,,0.365,0.519,0.051,0.064,1.281,Africa,2448.3,"$6,012.73 "
Cambodia,120,4.433,0.549,,0.457,0.696,0.256,0.065,1.088,Asia,16249.795,"$1,504.26 "
Burkina Faso,121,4.424,0.314,,0.254,0.312,0.175,0.128,1.097,Africa,19751.466,$715.77 
Egypt,122,4.419,0.885,,0.553,0.312,0.092,0.107,1.025,Africa,98423.602,"$2,573.29 "
Mozambique,123,4.417,0.198,,0.173,0.531,0.206,0.158,0.902,Africa,29496.009,$474.51 
Kenya,124,4.41,0.493,,0.454,0.504,0.352,0.055,1.048,Africa,51392.57,"$1,830.59 "
Zambia,125,4.377,0.562,,0.295,0.503,0.221,0.082,1.047,Africa,17351.714,"$1,503.40 "
Mauritania,126,4.356,0.557,,0.292,0.129,0.134,0.093,1.245,Africa,4403.312,"$1,319.27 "
Ethiopia,127,4.35,0.308,,0.391,0.452,0.22,0.146,0.95,Africa,109224.41,$852.88 
Georgia,128,4.34,0.853,,0.643,0.375,0.038,0.215,0.592,Europe,4002.946,"$4,346.15 "
Armenia,129,4.321,0.816,,0.666,0.26,0.077,0.028,0.99,Europe,2951.741,"$4,187.61 "
Myanmar,130,4.308,0.682,,0.429,0.58,0.598,0.178,1.174,Asia,53708.318,"$1,299.73 "
Chad,131,4.301,0.358,,0.053,0.189,0.181,0.06,0.907,Africa,15477.727,$884.82 
Congo (Kinshasa),132,4.245,0.069,,0.204,0.312,0.197,0.052,1.136,Africa,84068.092,$495.64 
India,133,4.19,0.721,,0.485,0.539,0.172,0.093,0.747,Asia,1352642.283,"$2,037.69 "
Niger,134,4.166,0.131,,0.221,0.39,0.175,0.099,0.867,Africa,22442.831,$414.33 
Uganda,135,4.161,0.322,,0.237,0.45,0.259,0.061,1.09,Africa,42729.032,$724.21 
Benin,136,4.141,0.378,,0.24,0.44,0.163,0.067,0.372,Africa,11485.035,"$1,241.77 "
Sudan,137,4.139,0.605,,0.312,0.016,0.134,0.082,1.24,Africa,41801.532,$816.54 
Ukraine,138,4.103,0.793,,0.609,0.163,0.187,0.011,1.413,Europe,44246.158,"$3,112.88 "
Togo,139,3.999,0.259,,0.253,0.434,0.158,0.101,0.474,Africa,7889.095,$670.32 
Guinea,140,3.964,0.344,,0.211,0.394,0.185,0.094,0.792,Africa,12414.292,$910.06 
Lesotho,141,3.808,0.472,,0.079,0.423,0.116,0.112,1.215,Africa,2108.327,"$1,333.43 "
Angola,142,3.795,0.73,,0.269,0,0.079,0.061,1.125,Africa,30809.787,"$3,620.59 "
Madagascar,143,3.774,0.262,,0.402,0.221,0.155,0.049,0.908,Africa,26262.313,$459.26 
Zimbabwe,144,3.692,0.357,,0.248,0.406,0.132,0.099,1.094,Africa,14438.812,"$1,434.06 "
Afghanistan,145,3.632,0.332,,0.255,0.085,0.191,0.036,0.537,Asia,37171.922,$544.98 
Botswana,146,3.59,1.017,,0.417,0.557,0.042,0.092,1.174,Africa,2254.067,"$7,973.14 "
Malawi,147,3.587,0.186,,0.306,0.531,0.21,0.08,0.541,Africa,18143.215,$349.94 
Haiti,148,3.582,0.315,,0.289,0.025,0.392,0.104,0.714,North America,11123.183,$868.76 
Liberia,149,3.495,0.076,,0.267,0.419,0.206,0.03,0.858,Africa,4818.976,$727.80 
Syria,150,3.462,0.689,,0.539,0.088,0.376,0.144,0.382,Asia,16945.062,$0.00 
Rwanda,151,3.408,0.332,,0.4,0.636,0.2,0.444,0.896,Africa,12301.969,$786.53 
Yemen,152,3.355,0.442,,0.343,0.244,0.083,0.064,1.073,Asia,28498.683,$895.34 
Tanzania,153,3.303,0.455,,0.381,0.481,0.27,0.097,0.991,Africa,56313.444,"$1,039.74 "
South Sudan,154,3.254,0.337,,0.177,0.112,0.224,0.106,0.608,Africa,10975.924,$0.00 
Central African Republic,155,3.083,0.024,,0.01,0.305,0.218,0.038,0,Africa,4666.375,$448.74 
Burundi,156,2.905,0.091,,0.145,0.065,0.149,0.076,0.627,Africa,11175.379,$306.97 
