happiness_rank,country,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,government_corr,continent,family,population,gdp_usd
108,Ghana,4.657,0.592,0.896,0.337,0.499,0.212,0.029,Africa,,29767.108,"$2,216.84 "
109,Senegal,4.631,0.429,1.117,0.433,0.406,0.138,0.082,Africa,,15854.324,"$1,441.43 "
110,Laos,4.623,0.72,1.034,0.441,0.626,0.23,0.174,Asia,,7061.498,"$2,565.98 "
111,Tunisia,4.592,0.9,0.906,0.69,0.271,0.04,0.063,Africa,,11565.203,"$3,421.78 "
112,Albania,4.586,0.916,0.817,0.79,0.419,0.149,0.032,Europe,,2882.735,"$5,239.21 "
113,Sierra Leone,4.571,0.256,0.813,0,0.355,0.238,0.053,Africa,,7650.149,$539.21 
114,Congo (Brazzaville),4.559,0.682,0.811,0.343,0.514,0.091,0.077,Africa,,5244.363,"$2,617.52 "
115,Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153,0.144,Asia,,161376.713,"$1,749.33 "
116,Sri Lanka,4.471,0.918,1.314,0.672,0.585,0.307,0.05,Asia,,21228.76,"$4,099.12 "
117,Iraq,4.456,1.01,0.971,0.536,0.304,0.148,0.095,Asia,,38433.604,"$5,881.52 "
118,Mali,4.447,0.37,1.233,0.152,0.367,0.139,0.056,Africa,,19077.755,$926.54 
119,Namibia,4.441,0.874,1.281,0.365,0.519,0.051,0.064,Africa,,2448.3,"$6,012.73 "
120,Cambodia,4.433,0.549,1.088,0.457,0.696,0.256,0.065,Asia,,16249.795,"$1,504.26 "
121,Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.175,0.128,Africa,,19751.466,$715.77 
122,Egypt,4.419,0.885,1.025,0.553,0.312,0.092,0.107,Africa,,98423.602,"$2,573.29 "
123,Mozambique,4.417,0.198,0.902,0.173,0.531,0.206,0.158,Africa,,29496.009,$474.51 
124,Kenya,4.41,0.493,1.048,0.454,0.504,0.352,0.055,Africa,,51392.57,"$1,830.59 "
125,Zambia,4.377,0.562,1.047,0.295,0.503,0.221,0.082,Africa,,17351.714,"$1,503.40 "
126,Mauritania,4.356,0.557,1.245,0.292,0.129,0.134,0.093,Africa,,4403.312,"$1,319.27 "
127,Ethiopia,4.35,0.308,0.95,0.391,0.452,0.22,0.146,Africa,,109224.41,$852.88 
128,Georgia,4.34,0.853,0.592,0.643,0.375,0.038,0.215,Europe,,4002.946,"$4,346.15 "
129,Armenia,4.321,0.816,0.99,0.666,0.26,0.077,0.028,Europe,,2951.741,"$4,187.61 "
130,Myanmar,4.308,0.682,1.174,0.429,0.58,0.598,0.178,Asia,,53708.318,"$1,299.73 "
131,Chad,4.301,0.358,0.907,0.053,0.189,0.181,0.06,Africa,,15477.727,$884.82 
132,Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.197,0.052,Africa,,84068.092,$495.64 
133,India,4.19,0.721,0.747,0.485,0.539,0.172,0.093,Asia,,1352642.283,"$2,037.69 "
134,Niger,4.166,0.131,0.867,0.221,0.39,0.175,0.099,Africa,,22442.831,$414.33 
135,Uganda,4.161,0.322,1.09,0.237,0.45,0.259,0.061,Africa,,42729.032,$724.21 
136,Benin,4.141,0.378,0.372,0.24,0.44,0.163,0.067,Africa,,11485.035,"$1,241.77 "
137,Sudan,4.139,0.605,1.24,0.312,0.016,0.134,0.082,Africa,,41801.532,$816.54 
138,Ukraine,4.103,0.793,1.413,0.609,0.163,0.187,0.011,Europe,,44246.158,"$3,112.88 "
139,Togo,3.999,0.259,0.474,0.253,0.434,0.158,0.101,Africa,,7889.095,$670.32 
140,Guinea,3.964,0.344,0.792,0.211,0.394,0.185,0.094,Africa,,12414.292,$910.06 
141,Lesotho,3.808,0.472,1.215,0.079,0.423,0.116,0.112,Africa,,2108.327,"$1,333.43 "
