country,region,happiness_rank,happiness_score,lwr_conf_interval,upr_conf_interval,gdp_per_capita,family,life_expectancy,freedom,government_corr,generosity,dystopia_residual,continent,social_support,population,gdp_usd
Albania,Central and Eastern Europe,109,4.655,4.546,4.764,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,Europe,,2886.427,"$4,124.41 "
Bangladesh,Southern Asia,110,4.643,4.56,4.726,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904,Asia,,157977.151,"$1,458.85 "
Sierra Leone,Sub-Saharan Africa,111,4.635,4.505,4.765,0.36485,0.628,0,0.30685,0.08196,0.23897,3.01402,Africa,,7328.846,$522.36 
Iraq,Middle East and Northern Africa,112,4.575,4.446,4.704,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1.81657,Asia,,36610.632,"$4,842.55 "
Namibia,Sub-Saharan Africa,113,4.574,4.374,4.774,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,1.92198,Africa,,2358.044,"$4,854.15 "
Cameroon,Sub-Saharan Africa,114,4.513,4.417,4.609,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2.5198,Africa,,23926.549,"$1,377.85 "
Ethiopia,Sub-Saharan Africa,115,4.508,4.425,4.591,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2.65614,Africa,,103603.461,$777.29 
South Africa,Sub-Saharan Africa,116,4.459,4.371,4.547,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227,Africa,,56207.649,"$5,266.88 "
Sri Lanka,Southern Asia,117,4.415,4.322,4.508,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681,Asia,,21021.177,"$3,885.76 "
India,Southern Asia,118,4.404,4.351,4.457,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032,Asia,,1324517.25,"$1,761.63 "
Myanmar,Southeastern Asia,119,4.395,4.327,4.463,0.34112,0.69981,0.3988,0.42692,0.20243,0.81971,1.50655,Asia,,53045.199,"$1,156.89 "
Egypt,Middle East and Northern Africa,120,4.362,4.259,4.465,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,1.96895,Africa,,94447.071,"$3,686.07 "
Armenia,Central and Eastern Europe,121,4.36,4.266,4.454,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864,Europe,,2936.147,"$3,524.00 "
Kenya,Sub-Saharan Africa,122,4.356,4.259,4.453,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326,Africa,,49051.531,"$1,522.29 "
Ukraine,Central and Eastern Europe,123,4.324,4.236,4.412,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,Europe,,44713.708,"$2,200.00 "
Ghana,Sub-Saharan Africa,124,4.276,4.185,4.367,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,2.2002,Africa,,28481.947,"$1,941.46 "
Congo (Kinshasa),Sub-Saharan Africa,125,4.272,4.191,4.353,0.05661,0.80676,0.188,0.15602,0.06075,0.25458,2.74924,Africa,,78789.13,$409.05 
Georgia,Central and Eastern Europe,126,4.252,4.164,4.34,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,1.87031,Europe,,4015.457,"$3,856.07 "
Congo (Brazzaville),Sub-Saharan Africa,127,4.236,4.107,4.365,0.77109,0.47799,0.28212,0.37938,0.09753,0.12077,2.10681,Africa,,4980.996,"$1,835.81 "
Senegal,Sub-Saharan Africa,128,4.219,4.151,4.287,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861,Africa,,14993.514,"$1,235.11 "
Bulgaria,Central and Eastern Europe,129,4.217,4.104,4.33,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377,Europe,,7151.948,"$7,496.08 "
Mauritania,Sub-Saharan Africa,130,4.201,4.127,4.275,0.61391,0.84142,0.28639,0.1268,0.17955,0.22686,1.9263,Africa,,4163.532,"$1,235.17 "
Zimbabwe,Sub-Saharan Africa,131,4.193,4.101,4.285,0.35041,0.71478,0.1595,0.25429,0.08582,0.18503,2.4427,Africa,,14030.338,"$1,409.45 "
Malawi,Sub-Saharan Africa,132,4.156,4.041,4.271,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,Africa,,17205.253,$294.76 
Sudan,Sub-Saharan Africa,133,4.139,3.928,4.35,0.63069,0.81928,0.29759,0,0.10039,0.18077,2.10995,Africa,,39847.433,"$1,403.15 "
Gabon,Sub-Saharan Africa,134,4.121,4.03,4.212,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332,Africa,,2007.882,"$7,082.22 "
Mali,Sub-Saharan Africa,135,4.073,3.988,4.158,0.31292,0.86333,0.16347,0.27544,0.13647,0.21064,2.11087,Africa,,17965.448,$802.40 
Haiti,Latin America and Caribbean,136,4.028,3.893,4.163,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116,North America,,10839.976,$735.21 
Botswana,Sub-Saharan Africa,137,3.974,3.875,4.073,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741,Africa,,2159.925,"$6,958.34 "
Comoros,Sub-Saharan Africa,138,3.956,3.86,4.052,0.27509,0.60323,0.29981,0.15412,0.18437,0.1827,2.25632,Africa,,795.597,"$1,274.44 "
Ivory Coast,Sub-Saharan Africa,139,3.916,3.826,4.006,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,1.97478,Africa,,23822.726,$0.00 
Cambodia,Southeastern Asia,140,3.907,3.798,4.016,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573,Asia,,15766.29,"$1,270.98 "
Angola,Sub-Saharan Africa,141,3.866,3.753,3.979,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,Africa,,28842.482,"$3,676.83 "
Niger,Sub-Saharan Africa,142,3.856,3.781,3.931,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,Africa,,20788.789,$366.06 
South Sudan,Sub-Saharan Africa,143,3.832,3.596,4.068,0.39394,0.18519,0.15781,0.19662,0.13015,0.25899,2.50929,Africa,,10832.52,$0.00 
Chad,Sub-Saharan Africa,144,3.763,3.672,3.854,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637,Africa,,14561.658,$860.51 
Burkina Faso,Sub-Saharan Africa,145,3.739,3.647,3.831,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319,Africa,,18646.35,$582.99 
Uganda,Sub-Saharan Africa,145,3.739,3.629,3.849,0.34719,0.90981,0.19625,0.43653,0.06442,0.27102,1.51416,Africa,,39649.173,$676.95 
Yemen,Middle East and Northern Africa,147,3.724,3.621,3.827,0.57939,0.47493,0.31048,0.2287,0.05892,0.09821,1.97295,Asia,,27168.21,$963.98 
Madagascar,Sub-Saharan Africa,148,3.695,3.621,3.769,0.27954,0.46115,0.37109,0.13684,0.07506,0.2204,2.15075,Africa,,24894.37,$406.41 
Tanzania,Sub-Saharan Africa,149,3.666,3.561,3.771,0.47155,0.77623,0.357,0.3176,0.05099,0.31472,1.37769,Africa,,53049.231,$966.29 
Liberia,Sub-Saharan Africa,150,3.622,3.463,3.781,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284,Africa,,4586.788,$772.39 
Guinea,Sub-Saharan Africa,151,3.607,3.533,3.681,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,Africa,,11738.434,$679.95 
Rwanda,Sub-Saharan Africa,152,3.515,3.444,3.586,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819,Africa,,11668.829,$734.82 
Benin,Sub-Saharan Africa,153,3.484,3.404,3.564,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812,Africa,,10872.072,"$1,086.97 "
Afghanistan,Southern Asia,154,3.36,3.288,3.432,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,Asia,,35383.028,$560.60 
Togo,Sub-Saharan Africa,155,3.303,3.192,3.414,0.28123,0,0.24811,0.34678,0.11587,0.17517,2.1354,Africa,,7509.952,$587.60 
Syria,Middle East and Northern Africa,156,3.069,2.936,3.202,0.74719,0.14866,0.62994,0.06912,0.17233,0.48397,0.81789,Asia,,17465.567,$0.00 
Burundi,Sub-Saharan Africa,157,2.905,2.732,3.078,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404,Africa,,10488.002,$298.01 
