country,happiness_rank,happiness_score,gdp_per_capita,family,life_expectancy,freedom,generosity,government_corr,social_support,continent,year,population
Ukraine,111,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,,Europe,2015,44921.636
Iraq,112,4.677,0.98549,0.81889,0.60237,0,0.17922,0.13788,,Asia,2015,35572.269
South Africa,113,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884,,Africa,2015,55386.369
Ghana,114,4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355,,Africa,2015,27849.203
Zimbabwe,115,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079,,Africa,2015,13814.642
Liberia,116,4.571,0.0712,0.78968,0.34201,0.28531,0.24362,0.06232,,Africa,2015,4472.229
India,117,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,,Asia,2015,1310152.392
Sudan,118,4.55,0.52107,1.01404,0.36878,0.10081,0.19062,0.1466,,Africa,2015,38902.948
Haiti,119,4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175,,North America,2015,10695.540
Congo (Kinshasa),120,4.517,0,1.0012,0.09806,0.22605,0.24834,0.07625,,Africa,2015,76244.532
Nepal,121,4.514,0.35997,0.86449,0.56874,0.38282,0.32296,0.05907,,Asia,2015,27015.033
Ethiopia,122,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,,Africa,2015,100835.453
Sierra Leone,123,4.507,0.33024,0.95571,0,0.4084,0.21488,0.08786,,Africa,2015,7171.909
Mauritania,124,4.436,0.45407,0.86908,0.35874,0.24232,0.219,0.17461,,Africa,2015,4046.304
Kenya,125,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839,,Africa,2015,47878.339
Djibouti,126,4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105,,Africa,2015,913.998
Armenia,127,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039,,Europe,2015,2925.559
Botswana,128,4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474,,Africa,2015,2120.716
Myanmar,129,4.307,0.27108,0.70905,0.48246,0.44017,0.79588,0.19034,,Asia,2015,52680.724
Georgia,130,4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331,,Europe,2015,4024.180
Malawi,131,4.292,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977,,Africa,2015,16745.305
Sri Lanka,132,4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179,,Asia,2015,20908.024
Cameroon,133,4.252,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786,,Africa,2015,23298.376
Bulgaria,134,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,,Europe,2015,7199.739
Egypt,135,4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324,,Africa,2015,92442.549
Yemen,136,4.077,0.54649,0.68093,0.40064,0.35571,0.09131,0.07854,,Asia,2015,26497.881
Angola,137,4.033,0.75778,0.8604,0.16683,0.10384,0.12344,0.07122,,Africa,2015,27884.380
Mali,138,3.995,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352,,Africa,2015,17438.772
Congo (Brazzaville),139,3.989,0.67866,0.6629,0.31051,0.41466,0.12388,0.11686,,Africa,2015,4856.093
Comoros,140,3.956,0.23906,0.79273,0.36315,0.22917,0.17441,0.199,,Africa,2015,777.435
Uganda,141,3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267,,Africa,2015,38225.447
Senegal,142,3.904,0.36498,0.97619,0.4354,0.36772,0.20843,0.10713,,Africa,2015,14578.450
Gabon,143,3.896,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091,,Africa,2015,1947.690
Niger,144,3.845,0.0694,0.77265,0.29707,0.47692,0.19387,0.15639,,Africa,2015,20001.663
Cambodia,145,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247,,Asia,2015,15521.435
Tanzania,146,3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747,,Africa,2015,51482.638
Madagascar,147,3.681,0.20824,0.66801,0.46721,0.19184,0.21333,0.08124,,Africa,2015,24234.080
Central African Republic,148,3.678,0.0785,0,0.06699,0.48879,0.23835,0.08289,,Africa,2015,4493.171
Chad,149,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269,,Africa,2015,14110.971
Guinea,150,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139,,Africa,2015,11432.096
Ivory Coast,151,3.655,0.46534,0.77115,0.15185,0.46866,0.20165,0.17922,,Africa,2015,23226.148
Burkina Faso,152,3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832,,Africa,2015,18110.616
Afghanistan,153,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719,,Asia,2015,34413.603
Rwanda,154,3.465,0.22208,0.7737,0.42864,0.59201,0.22628,0.55191,,Africa,2015,11369.066
Benin,155,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,,Africa,2015,10575.962
Syria,156,3.006,0.6632,0.47489,0.72193,0.15684,0.47179,0.18906,,Asia,2015,17997.411
Burundi,157,2.905,0.0153,0.41587,0.22396,0.1185,0.19727,0.10062,,Africa,2015,10160.034
Togo,158,2.839,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731,,Africa,2015,7323.162
Denmark,1,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453,,Europe,2016,5711.346
Switzerland,2,7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,,Europe,2016,8379.915
Iceland,3,7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975,,Europe,2016,332.209
Norway,4,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,,Europe,2016,5250.950
Finland,5,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,,Europe,2016,5497.714
Canada,6,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,,North America,2016,36382.942
Netherlands,7,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927,,Europe,2016,16981.285
New Zealand,8,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904,,Oceania,2016,4659.265
Australia,9,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,,Oceania,2016,24262.710
Sweden,10,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,,Europe,2016,9836.003
Israel,11,7.267,1.33766,0.99537,0.84917,0.36432,0.32288,0.08728,,Asia,2016,8108.984
Austria,12,7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348,,Europe,2016,8747.306
United States,13,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868,,North America,2016,323015.992
Costa Rica,14,7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547,,North America,2016,4899.336
Puerto Rico,15,7.039,1.35943,1.08113,0.77758,0.46823,0.22202,0.12275,,North America,2016,3283.121
Germany,16,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551,,Europe,2016,82193.770
Brazil,17,6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166,,South America,2016,206163.056
Belgium,18,6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248,,Europe,2016,11354.407
Ireland,19,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754,,Europe,2016,4695.790
Luxembourg,20,6.871,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329,,Europe,2016,579.266
Mexico,21,6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355,,North America,2016,123333.379
Singapore,22,6.739,1.64555,0.86758,0.94719,0.4877,0.32706,0.46987,,Asia,2016,5653.625
United Kingdom,23,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399,,Europe,2016,66297.944
Chile,24,6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451,,South America,2016,18209.072
Panama,25,6.701,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423,,North America,2016,4037.073
Argentina,26,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296,,South America,2016,43508.459
Czech Republic,27,6.596,1.30915,1.00793,0.76376,0.41418,0.09929,0.03986,,Europe,2016,10618.868
United Arab Emirates,28,6.573,1.57352,0.87114,0.72993,0.56215,0.26591,0.35561,,Asia,2016,9360.975
Uruguay,29,6.545,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394,,South America,2016,3424.139
Malta,30,6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554,,Europe,2016,436.099
Colombia,31,6.481,1.03032,1.02169,0.59659,0.44735,0.15626,0.05399,,South America,2016,48175.048
France,32,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808,,Europe,2016,64667.590
Thailand,33,6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833,,Asia,2016,68971.313
